CLASE ACCIDENTE,FECHA,AÑO,HORA,JORNADA,DIA_SEMANA,BARRIOS-CORREGIMIENTO- VIA,DIRECCION,ZONA,AUTORIDAD,LAT,LONG,HIPOTESIS,CODIGO,CONDICION DE LA VICTIMA,GRAVEDAD,EDAD,GENERO,LESIONADOS Y MUERTOS,CLINICA,CLASE VEHICULO,MARCA,MATRICULA,TIPO DE SERVICIO,EMPRESA
DAÑOS,01/19/2022 12:00:00 AM,"2,022",1899-12-31T12:00:00.000,TARDE,MIERCOLES,CENTRO,CARRERA 26 CALLE 32-10,URBANA,TECNICO,3.52852,-76.29691,NO MANTENER DISTANCIA SEGURIDAD,121,NO APLICA,CHOQUE,71,MASCULINO,NO APLICA,N/A,N/A,N/A,N/A,PARTICULAR,N/A
DAÑOS,01/19/2022 12:00:00 AM,"2,022",1899-12-31T12:15:00.000,TARDE,MIERCOLES,COLOMBIA,CALLE 29 CARRERA 20-18,URBANA,TECNICO,3.52521,-76.29279,NO MANTENER DISTANCIA SEGURIDAD,121,NO APLICA,CHOQUE,30,MASCULINO,NO APLICA,N/A,N/A,N/A,N/A,PUBLICO,N/A
DAÑOS,01/19/2022 12:00:00 AM,"2,022",1899-12-31T12:15:00.000,TARDE,MIERCOLES,COLOMBIA,CALLE 29 CARRERA 20-18,URBANA,TECNICO,3.52521,-76.29279,NO MANTENER DISTANCIA SEGURIDAD,121,NO APLICA,CHOQUE,48,MASCULINO,NO APLICA,N/A,N/A,N/A,N/A,PUBLICO,N/A
DAÑOS,01/19/2022 12:00:00 AM,"2,022",1899-12-31T14:40:00.000,TARDE,MIERCOLES,ZAMORANO,DIAGONAL 65 CARRERA 28,URBANA,TECNICO,3.55226,-76.29357,PONER EN MARCHA VEHICULO SIN PRECAUCION,143,NO APLICA,CHOQUE,44,MASCULINO,NO APLICA,N/A,N/A,N/A,N/A,PARTICULAR,N/A
DAÑOS,01/19/2022 12:00:00 AM,"2,022",1899-12-31T14:40:00.000,TARDE,MIERCOLES,ZAMORANO,DIAGONAL 65 CARRERA 28,URBANA,TECNICO,3.55226,-76.29357,PONER EN MARCHA VEHICULO SIN PRECAUCION,143,NO APLICA,CHOQUE,70,MASCULINO,NO APLICA,N/A,N/A,N/A,N/A,PARTICULAR,N/A
DAÑOS,01/20/2022 12:00:00 AM,"2,022",1899-12-31T17:10:00.000,TARDE,JUEVES,LORETO,CALLE 37 CARRERA 35,URBANA,TECNICO,3.53489,-76.30586,ARRANCAR SIN PRECAUCION,145,NO APLICA,CHOQUE,66,FEMENINA,NO APLICA,N/A,N/A,N/A,N/A,PARTICULAR,N/A
DAÑOS,01/20/2022 12:00:00 AM,"2,022",1899-12-31T17:10:00.000,TARDE,JUEVES,LORETO,CALLE 37 CARRERA 35,URBANA,TECNICO,3.53489,-76.30586,ARRANCAR SIN PRECAUCION,145,NO APLICA,CHOQUE,59,MASCULINO,NO APLICA,N/A,N/A,N/A,N/A,PARTICULAR,N/A
DAÑOS,01/21/2022 12:00:00 AM,"2,022",1899-12-31T15:00:00.000,TARDE,VIERNES,PRADO,CARRERA 40 CALLE 37,URBANA,TECNICO,3.53417,-76.31022,DESOBEDECER SEÑAL DE PARE,112,NO APLICA,CHOQUE,66,MASCULINO,NO APLICA,N/A,N/A,N/A,N/A,PARTICULAR,N/A
DAÑOS,01/21/2022 12:00:00 AM,"2,022",1899-12-31T15:00:00.000,TARDE,VIERNES,PRADO,CARRERA 40 CALLE 37,URBANA,TECNICO,3.53417,-76.31022,DESOBEDECER SEÑAL DE PARE,112,NO APLICA,CHOQUE,56,FEMENINA,NO APLICA,N/A,N/A,N/A,N/A,PARTICULAR,N/A
DAÑOS,01/21/2022 12:00:00 AM,"2,022",1899-12-31T23:30:00.000,NOCHE,VIERNES,CUIDAD DEL CAMPO,CALLE 101 CARRERA 32,URBANA,TECNICO,3.4572,-76.46466,REVERSO IMPRUDENTE,134,NO APLICA,CHOQUE,19,MASCULINO,NO APLICA,N/A,N/A,N/A,N/A,PARTICULAR,N/A
